iso3;anio;valor_en_porcentaje
NLD;1967;0
OWID_USS;1967;3.4704354
PAK;1967;8.392018
PER;1967;13.701914
POL;1967;0.3647668
ROU;1967;1.3156693
SAU;1967;0
SVK;1967;4.855119
TWN;1967;9.467523
USA;1967;4.687128
VEN;1967;2.3735323
ZAF;1967;0.020714175
AUS;1968;4.8654675
AUT;1968;25.099167
ARG;1968;1.2272897
BRA;1968;25.555754
CHL;1968;13.367759
OWID_WRL;1968;6.6903105
BEL;1968;0.19221336
BGR;1968;2.3115647
CAN;1968;24.632303
CHE;1968;39.6735
CHN;1968;4.458871
COL;1968;12.023638
CZE;1968;0.89475876
DEU;1968;1.7341964
DZA;1968;5.4861946
EGY;1968;9.956792
FRA;1968;10.6739235
GBR;1968;3.5381756
HUN;1968;0.14179073
IDN;1968;11.010139
IND;1968;10.8575325
IRN;1968;4.9317336
ITA;1968;12.211649
JPN;1968;8.5672655
LUX;1968;0.621158
MAR;1968;11.826925
MEX;1968;10.842833
NLD;1968;0.015150955
OWID_USS;1968;3.9467227
PAK;1968;8.885178
PER;1968;14.438607
POL;1968;0.35622162
ROU;1968;1.3085219
SAU;1968;0
SVK;1968;4.0370173
TWN;1968;12.089816
USA;1968;4.55479
VEN;1968;3.6946754
ZAF;1968;0.018117523
AUS;1969;5.086988
AUT;1969;22.27537
ARG;1969;1.0651326
BRA;1969;25.05622
CHL;1969;13.999327
BEL;1969;0.14537379
OWID_WRL;1969;6.6726766
BGR;1969;2.9225402
CAN;1969;25.60727
CHE;1969;37.368385
CHN;1969;3.7274022
COL;1969;13.203888
CZE;1969;0.7005399
DEU;1969;1.5954081
DZA;1969;3.1827633
EGY;1969;16.08243
ESP;1969;18.939919
FRA;1969;10.249425
GBR;1969;3.6926992
HUN;1969;0.14133148
IDN;1969;10.201887
IND;1969;11.137484
IRN;1969;4.837112
ITA;1969;10.840629
JPN;1969;7.7167706
LUX;1969;0.50225776
MAR;1969;13.944498
MEX;1969;10.4753
NLD;1969;0.152845
OWID_USS;1969;4.190106
PAK;1969;9.32975
PER;1969;15.602732
POL;1969;0.28452122
ROU;1969;1.6154395
SAU;1969;0
SVK;1969;3.0090575
TWN;1969;9.123023
USA;1969;4.835468
VEN;1969;4.2418756
ZAF;1969;0.015396576
AUS;1970;5.421451
AUT;1970;24.770256
BEL;1970;0.16478363
ARG;1970;1.3533598
BRA;1970;27.117094
CHL;1970;14.19122
OWID_WRL;1970;6.6527715
BGR;1970;3.0394952
CAN;1970;25.18255
CHE;1970;36.64664
CHN;1970;3.0095923
COL;1970;13.413398
CZE;1970;0.9598853
DEU;1970;2.0274239
DZA;1970;4.6656837
EGY;1970;15.164636
ESP;1970;16.054634
FRA;1970;10.436109
GBR;1970;3.4190855
HUN;1970;0.12151648
IDN;1970;11.57067
IND;1970;12.270132
IRN;1970;4.4152985
ITA;1970;10.050793
JPN;1970;7.233779
LUX;1970;0.53466296
MAR;1970;13.103196
MEX;1970;10.981713
MYS;1970;8.029954
NLD;1970;0.15826146
NZL;1970;38.82334
OWID_USS;1970;4.3159747
PAK;1970;8.390381
PER;1970;14.4538965
POL;1970;0.5491499
ROU;1970;1.8980381
SAU;1970;0
SVK;1970;4.1029906
TWN;1970;7.867682
USA;1970;4.7585278
VEN;1970;5.406153
ZAF;1970;0.017539408
AUS;1971;5.8227277
AUT;1971;19.6523
BEL;1971;0.07485565
ARG;1971;1.2702763
BGD;1971;3.859758
BRA;1971;26.37442
CHL;1971;14.860414
OWID_WRL;1971;6.8122854
BGR;1971;2.9434657
CAN;1971;25.556093
CHE;1971;35.24591
CHN;1971;3.0704048
COL;1971;14.3879595
CZE;1971;0.64512116
DEU;1971;1.6637679
DZA;1971;2.4559188
EGY;1971;15.877998
ESP;1971;17.417469
FRA;1971;9.354795
GBR;1971;3.5202503
HUN;1971;0.128392
IDN;1971;4.00115
IND;1971;12.774062
IRN;1971;4.3325543
ITA;1971;9.320574
JPN;1971;7.818609
LUX;1971;0.31431046
MAR;1971;13.923879
MEX;1971;10.142723
MYS;1971;6.2558084
NLD;1971;0.16516818
NZL;1971;41.630173
OWID_USS;1971;4.199794
PAK;1971;11.862198
PER;1971;17.671724
POL;1971;0.48687243
ROU;1971;2.8985322
SAU;1971;0
SVK;1971;2.8729024
TWN;1971;6.7593374
USA;1971;5.2267337
VEN;1971;6.983936
ZAF;1971;0.07294351
AUS;1972;5.599285
AUT;1972;19.524149
BEL;1972;0.10013115
BGD;1972;3.406534
ARG;1972;1.2349532
BRA;1972;27.116016
CHL;1972;17.308092
BGR;1972;2.7616532
OWID_WRL;1972;6.941994
CAN;1972;26.880077
CHE;1972;32.882725
CHN;1972;3.227597
COL;1972;13.823888
CZE;1972;0.6712159
DEU;1972;1.8386331
DZA;1972;3.278343
EGY;1972;14.63569
ESP;1972;18.831684
FRA;1972;9.5122
GBR;1972;3.673574
HUN;1972;0.14248806
IDN;1972;3.3738363
IND;1972;11.776673
IRN;1972;5.018947
ITA;1972;9.287752
JPN;1972;7.6518364
LUX;1972;0.35941938
MAR;1972;13.526379
MEX;1972;9.780027
MYS;1972;6.1961737
NLD;1972;0.11446433
NZL;1972;41.191326
OWID_USS;1972;4.0271845
PAK;1972;13.898219
PER;1972;20.367374
POL;1972;0.4683993
ROU;1972;4.4929147
SAU;1972;0
SVK;1972;2.8667028
TWN;1972;7.442085
USA;1972;5.3539753
VEN;1972;7.378936
ZAF;1972;0.52579415
AUS;1973;5.588665
AUT;1973;20.17739
BEL;1973;0.19139794
BGD;1973;5.024387
BGR;1973;3.2605417
ARG;1973;2.2839267
BRA;1973;26.067352
CHL;1973;17.450201
OWID_WRL;1973;6.872115
CAN;1973;27.474419
CHE;1973;34.763435
CHN;1973;3.417015
COL;1973;15.555398
CZE;1973;0.57063675
DEU;1973;2.0752115
DZA;1973;4.175826
EGY;1973;15.458054
ESP;1973;15.124355
FRA;1973;8.632648
GBR;1973;3.404124
HUN;1973;0.12081837
IDN;1973;3.7743795
IND;1973;12.607008
IRN;1973;3.5577044
ITA;1973;8.123724
JPN;1973;5.5749536
LUX;1973;0.2993406
MAR;1973;9.094625
MEX;1973;9.648298
MYS;1973;5.646239
NLD;1973;0.36571285
NZL;1973;39.168327
OWID_USS;1973;3.941008
PAK;1973;14.215199
PER;1973;19.269955
POL;1973;0.45816857
ROU;1973;4.244083
SAU;1973;0
SVK;1973;2.7478938
TWN;1973;5.9530554
USA;1973;5.580639
VEN;1973;6.668882
ZAF;1973;0.577211
AUS;1974;5.95511
AUT;1974;23.734526
BEL;1974;0.2676896
BGD;1974;3.4634595
BGR;1974;3.6594305
ARG;1974;4.342596
BRA;1974;26.414951
CHL;1974;19.770317
OWID_WRL;1974;7.675576
CAN;1974;28.60637
CHE;1974;38.581486
CHN;1974;3.7493546
COL;1974;15.7888975
CZE;1974;0.9500237
DEU;1974;2.4660115
DZA;1974;2.494738
EGY;1974;16.143082
ESP;1974;15.479853
FIN;1974;18.06427
FRA;1974;9.969419
GBR;1974;4.2407827
HUN;1974;0.094015844
IDN;1974;3.9022937
IND;1974;11.425445
IRN;1974;3.4556205
ITA;1974;8.301662
JPN;1974;7.4049354
LUX;1974;0.43540335
MAR;1974;9.542439
MEX;1974;9.094654
MYS;1974;5.05663
NLD;1974;1.1395861
NZL;1974;40.95153
OWID_USS;1974;4.1886034
PAK;1974;13.5965605
PER;1974;18.357449
POL;1974;0.620982
ROU;1974;4.733459
SAU;1974;0
SVK;1974;4.54585
TWN;1974;8.604859
USA;1974;6.618513
VEN;1974;7.9816513
ZAF;1974;0.6448366
AUS;1975;6.2970085
AUT;1975;25.034246
BEL;1975;3.871629
BGD;1975;6.043976
BGR;1975;5.465439
ARG;1975;5.64054
CAN;1975;27.71457
BRA;1975;27.490095
CHL;1975;21.942268
OWID_WRL;1975;8.156491
CHE;1975;42.586536
CHN;1975;3.503824
COL;1975;18.878565
CZE;1975;0.91022944
DEU;1975;3.254713
DZA;1975;1.3782818
EGY;1975;16.16058
ESP;1975;13.414354
FIN;1975;17.08967
FRA;1975;11.624997
GBR;1975;4.079702
HUN;1975;0.17870052
IDN;1975;3.3421185
IND;1975;12.693411
IRN;1975;3.1140482
ITA;1975;9.101361
JPN;1975;8.207497
LUX;1975;0.45285672
MAR;1975;7.134391
MEX;1975;7.7844524
MYS;1975;4.8979263
NLD;1975;1.461569
NZL;1975;43.82888
OWID_USS;1975;4.0131335
PAK;1975;14.901722
PER;1975;18.165419
POL;1975;0.5374193
ROU;1975;4.793049
SAU;1975;0
SVK;1975;3.5232208
TWN;1975;8.733823
USA;1975;7.673963
VEN;1975;8.893406
ZAF;1975;0.59844273
AUS;1976;5.7934213
AUT;1976;20.905321
BEL;1976;5.2734094
BGD;1976;5.868124
BGR;1976;8.146262
CAN;1976;28.393713
ARG;1976;5.2805696
BRA;1976;28.666958
CHL;1976;21.900364
CHE;1976;37.609077
OWID_WRL;1976;7.9901023
CHN;1976;3.3725686
COL;1976;19.034077
CZE;1976;0.7058947
DEU;1976;3.207044
DZA;1976;1.4010222
EGY;1976;15.923643
ESP;1976;10.660241
FIN;1976;12.514575
FRA;1976;8.988821
GBR;1976;4.759385
HUN;1976;0.16931991
IDN;1976;1.86724
IND;1976;12.776077
IRN;1976;3.0952492
ITA;1976;8.264039
JPN;1976;8.561666
LUX;1976;0.2848827
MAR;1976;6.466088
MEX;1976;8.30845
MYS;1976;4.1376095
NLD;1976;1.5344442
NZL;1976;39.66771
OWID_USS;1976;4.3382497
PAK;1976;15.559706
PER;1976;18.74816
POL;1976;0.4238295
ROU;1976;3.851948
SAU;1976;0
SVK;1976;3.8035312
TWN;1976;5.838051
USA;1976;7.3539677
VEN;1976;9.633482
ZAF;1976;0.96040404
AUS;1977;5.2697754
AUT;1977;25.271303
BEL;1977;6.416232
BGD;1977;5.079776
BGR;1977;9.162012
CAN;1977;28.756395
CHE;1977;43.15841
ARG;1977;4.9611993
BRA;1977;30.686188
CHL;1977;22.105398
CHN;1977;3.2287142
OWID_WRL;1977;8.32979
COL;1977;18.79995
CZE;1977;0.9296591
DEU;1977;4.31802
DZA;1977;0.8817282
EGY;1977;16.571007
ESP;1977;16.74441
FIN;1977;18.36673
FRA;1977;12.939471
GBR;1977;5.044491
HUN;1977;0.14541946
IDN;1977;2.34783
IND;1977;12.903142
IRN;1977;2.8250146
ITA;1977;10.263176
JPN;1977;7.570321
LUX;1977;0.69326395
MAR;1977;7.88484
MEX;1977;8.738277
MYS;1977;2.8693047
NLD;1977;1.5085223
NOR;1977;64.26859
NZL;1977;36.97633
OWID_USS;1977;4.721385
PAK;1977;16.396587
PER;1977;19.299877
POL;1977;0.49482882
ROU;1977;4.187206
SAU;1977;0
SVK;1977;3.728671
TWN;1977;5.116251
USA;1977;7.135481
VEN;1977;9.939145
ZAF;1977;0.9714049
AUS;1978;5.508697
AUT;1978;24.244625
BEL;1978;6.437148
BGD;1978;5.5367117
BGR;1978;8.274549
CAN;1978;30.484804
CHE;1978;40.785473
CHN;1978;2.7594638
ARG;1978;7.0858197
BRA;1978;30.963718
CHL;1978;22.151817
OWID_WRL;1978;8.82472
COL;1978;20.633047
CZE;1978;0.8529741
DEU;1978;4.407154
DZA;1978;0.6521151
EGY;1978;17.237104
ESP;1978;17.292536
FIN;1978;15.522062
FRA;1978;12.918242
GBR;1978;4.711753
HUN;1978;0.12593117
IDN;1978;1.49063
IND;1978;15.391042
IRN;1978;4.5260034
ITA;1978;9.231106
JPN;1978;8.93935
LUX;1978;0.65441746
MAR;1978;7.7057586
MEX;1978;6.597964
MYS;1978;2.5391793
NLD;1978;1.711121
NOR;1978;64.17826
NZL;1978;39.497875
OWID_USS;1978;5.0810037
PAK;1978;18.48265
PER;1978;19.762915
POL;1978;0.46934918
ROU;1978;4.4158015
SAU;1978;0
SVK;1978;3.2149608
TWN;1978;7.917228
USA;1978;8.192759
VEN;1978;9.782297
ZAF;1978;0.96227163
AUS;1979;5.1658406
AUT;1979;25.784454
BEL;1979;5.7608137
BGD;1979;5.825672
BGR;1979;8.586367
CAN;1979;31.059208
CHE;1979;42.576237
CHN;1979;3.008899
ARG;1979;8.312162
BRA;1979;32.51719
CHL;1979;21.552887
COL;1979;21.762644
OWID_WRL;1979;8.943431
CZE;1979;1.0576006
DEU;1979;4.7160487
DZA;1979;0.5792936
EGY;1979;15.267534
ESP;1979;17.786201
FIN;1979;19.237047
FRA;1979;13.466322
GBR;1979;4.645052
HUN;1979;0.13454616
IDN;1979;1.4562845
IND;1979;14.103171
IRL;1979;2.3525975
IRN;1979;3.6342711
ITA;1979;8.741142
JPN;1979;10.052746
LUX;1979;0.69214594
MAR;1979;7.719043
MEX;1979;6.7473707
MYS;1979;2.6952229
NLD;1979;1.4459108
NOR;1979;65.86465
NZL;1979;44.850327
OWID_USS;1979;5.152096
PAK;1979;18.069641
PER;1979;20.380562
POL;1979;0.42775407
ROU;1979;4.625903
SAU;1979;0
SVK;1979;5.4123397
TWN;1979;10.541493
USA;1979;7.8222456
VEN;1979;10.329237
ZAF;1979;0.5590492
AUS;1980;4.862272
AUT;1980;26.826015
BEL;1980;6.6043563
BGD;1980;4.96088
BGR;1980;8.474185
CAN;1980;31.51935
CHE;1980;45.622498
CHN;1980;3.566198
COL;1980;22.777384
ARG;1980;10.958725
BRA;1980;35.243515
CHL;1980;22.069942
CZE;1980;1.1426239
OWID_WRL;1980;9.40021
DEU;1980;5.1990204
DZA;1980;0.4290016
EGY;1980;13.69403
ESP;1980;11.640144
FIN;1980;18.891968
FRA;1980;16.647429
GBR;1980;4.902943
HUN;1980;0.10290331
IDN;1980;1.2272301
IND;1980;14.023217
IRL;1980;2.4656003
IRN;1980;4.064726
ISR;1980;0
ITA;1980;8.802953
JPN;1980;11.690446
LUX;1980;0.77743924
MAR;1980;7.3711247
MEX;1980;5.803557
MYS;1980;3.2901187
NLD;1980;1.7411675
NOR;1980;65.25247
NZL;1980;46.991554
OWID_USS;1980;5.6027513
PAK;1980;17.12823
PER;1980;19.653427
POL;1980;0.5173495
ROU;1980;5.1059155
SAU;1980;0
SVK;1980;8.905686
TWN;1980;10.143001
USA;1980;8.033562
VEN;1980;9.45448
ZAF;1980;0.45417184
AUS;1981;4.930354
AUT;1981;29.280653
BEL;1981;7.1601987
BGD;1981;5.0166492
BGR;1981;11.048305
CAN;1981;33.6213
CHE;1981;48.46403
CHN;1981;4.066497
COL;1981;22.155632
CZE;1981;0.9889818
ARG;1981;11.287144
BRA;1981;36.3235
CHL;1981;22.72726
OWID_WRL;1981;10.062484
DEU;1981;6.1013775
DZA;1981;0.50294036
EGY;1981;12.52634
ESP;1981;10.44322
FIN;1981;30.572697
FRA;1981;22.63198
GBR;1981;5.2179065
HUN;1981;0.15593338
IDN;1981;1.1406815
IND;1981;13.466771
IRL;1981;2.5970182
IRN;1981;4.4219165
ISR;1981;0.006281011
ITA;1981;8.595571
JPN;1981;12.163535
LUX;1981;0.99061763
MAR;1981;5.1364617
MEX;1981;7.5373635
MYS;1981;3.5273147
NLD;1981;1.6736997
NOR;1981;68.59787
NZL;1981;47.48469
OWID_USS;1981;5.8181744
PAK;1981;16.780693
PER;1981;21.26738
POL;1981;0.5322904
ROU;1981;5.1341105
SAU;1981;0
SVK;1981;9.376169
THA;1981;6.015194
TWN;1981;15.080439
USA;1981;8.381008
VEN;1981;9.426736
VNM;1981;8.2104645
ZAF;1981;0.65005094
AUS;1982;4.6367826
AUT;1982;30.31977
BEL;1982;8.852228
BGD;1982;3.8052511
BGR;1982;11.650768
CAN;1982;33.57675
CHE;1982;50.06023
CHN;1982;4.4212723
COL;1982;23.009438
CZE;1982;0.8108596
ARG;1982;12.366886
DEU;1982;6.94745
BRA;1982;37.79666
CHL;1982;26.627869
OWID_WRL;1982;10.546408
DZA;1982;0.5708701
EGY;1982;11.533038
ESP;1982;11.669606
FIN;1982;32.57894
FRA;1982;23.749939
GBR;1982;6.0469975
GRC;1982;5.2865105
HUN;1982;0.14692831
IDN;1982;1.2204517
IND;1982;11.493147
IRL;1982;2.4390516
IRN;1982;4.111237
ISR;1982;0.005812406
ITA;1982;9.199923
JPN;1982;13.922405
LUX;1982;0.9594649
MAR;1982;2.7842176
MEX;1982;6.8430977
MYS;1982;3.1702034
NLD;1982;1.5572321
NOR;1982;69.16161
NZL;1982;43.100174
OWID_USS;1982;5.6887503
PAK;1982;17.143526
PER;1982;22.379803
POL;1982;0.39483663
ROU;1982;4.8196645
SAU;1982;0
SVK;1982;10.080485
THA;1982;7.5709677
TUR;1982;12.745108
TWN;1982;15.588453
USA;1982;9.628787
VEN;1982;9.688069
VNM;1982;7.957216
ZAF;1982;0.37149048
AUS;1983;4.534481
AUT;1983;30.117786
BEL;1983;13.9216795
BGD;1983;4.870658
BGR;1983;13.141084
CAN;1983;35.803665
CHE;1983;47.80799
CHN;1983;4.8234906
COL;1983;22.032003
CZE;1983;0.89533144
DEU;1983;7.0113754
DNK;1983;0.14966652
ARG;1983;13.302724
BRA;1983;41.02851
CHL;1983;27.825817
OWID_WRL;1983;11.149119
DZA;1983;0.25644946
EGY;1983;9.980415
ESP;1983;12.242547
FIN;1983;34.468693
FRA;1983;27.476105
GBR;1983;6.7592278
GRC;1983;3.454517
HUN;1983;2.3771007
IDN;1983;1.7323705
IND;1983;10.732102
IRL;1983;2.4031906
IRN;1983;3.3884645
ISR;1983;0.002904362
ITA;1983;9.190798
JPN;1983;14.839226
LUX;1983;1.0039246
MAR;1983;2.2804005
MEX;1983;6.308686
MYS;1983;3.213416
NLD;1983;1.4219129
NOR;1983;71.88228
NZL;1983;44.462418
OWID_USS;1983;5.908102
PAK;1983;18.630857
PER;1983;24.702398
POL;1983;0.44284835
ROU;1983;4.1099563
SAU;1983;0
SVK;1983;10.604702
THA;1983;6.5891347
TUR;1983;9.873128
TWN;1983;18.794779
USA;1983;10.2414255
VEN;1983;11.105164
VNM;1983;5.9674644
ZAF;1983;0.21470517
AUS;1984;4.7184544
AUT;1984;26.68983
BEL;1984;15.309538
BGD;1984;6.1055837
BGR;1984;13.485257
CAN;1984;36.21152
CHE;1984;46.826828
CHN;1984;4.515455
COL;1984;24.247952
CZE;1984;1.1667187
DEU;1984;8.540656
DNK;1984;0.15148832
ARG;1984;14.838512
BRA;1984;43.019447
CHL;1984;27.770302
DZA;1984;0.5136736
OWID_WRL;1984;11.675484
EGY;1984;8.979603
ESP;1984;17.25076
FIN;1984;33.90457
FRA;1984;31.831202
GBR;1984;7.263492
GRC;1984;4.0465713
HUN;1984;3.4739003
IDN;1984;1.7180939
IND;1984;11.339728
IRL;1984;2.1390052
IRN;1984;2.9317567
ISR;1984;0.005582046
ITA;1984;9.424901
JPN;1984;14.190346
LUX;1984;1.0007659
MAR;1984;1.7123275
MEX;1984;6.831296
MYS;1984;5.8833213
NLD;1984;1.3274013
NOR;1984;71.13632
NZL;1984;43.45358
OWID_USS;1984;6.75758
PAK;1984;18.312424
PER;1984;25.10971
POL;1984;0.3671588
ROU;1984;4.670981
SAU;1984;0
SVK;1984;10.821858
THA;1984;6.626251
TUR;1984;11.116493
TWN;1984;21.796032
USA;1984;10.170345
VEN;1984;12.205674
VNM;1984;7.7337303
ZAF;1984;1.4285707
AUS;1985;4.863155
AUT;1985;29.769283
AZE;1985;1.6519357
BEL;1985;18.222717
BGD;1985;4.526682
BGR;1985;13.023737
BLR;1985;0.014493478
CAN;1985;37.621876
CHE;1985;49.264248
CHN;1985;4.441829
COL;1985;25.23612
CZE;1985;1.8594567
DEU;1985;10.49098
DNK;1985;0.16285837
DZA;1985;0.72826535
ARG;1985;16.157017
BRA;1985;43.810577
CHL;1985;30.351582
EGY;1985;8.225813
OWID_WRL;1985;12.323187
ESP;1985;18.870678
EST;1985;0
FIN;1985;31.55871
FRA;1985;34.250317
GBR;1985;7.7404714
GRC;1985;3.7546217
HUN;1985;5.6528172
IDN;1985;1.9808587
IND;1985;10.478157
IRL;1985;2.487561
IRN;1985;2.7088299
ISR;1985;0.00601886
ITA;1985;9.136989
JPN;1985;16.466648
KAZ;1985;1.9355252
LTU;1985;15.52998
LUX;1985;0.81546617
LVA;1985;8.286784
MAR;1985;2.2006679
MEX;1985;7.82051
MYS;1985;6.482968
NLD;1985;1.5166957
NOR;1985;69.52918
NZL;1985;41.613804
PAK;1985;18.1585
PER;1985;27.571493
POL;1985;0.4598646
ROU;1985;5.2583566
RUS;1985;7.8923173
SAU;1985;0
SVK;1985;13.719656
SWE;1985;55.210285
THA;1985;5.7355323
TKM;1985;0.006198966
TUR;1985;9.229306
TWN;1985;24.982508
UKR;1985;6.5788693
USA;1985;10.443619
UZB;1985;3.4460564
VEN;1985;13.293667
VNM;1985;7.0842214
ZAF;1985;1.8507943
AUS;1986;4.7985597
AUT;1986;30.177652
AZE;1986;0.9406936
BEL;1986;20.147831
BGD;1986;2.5327973
BGR;1986;11.968174
BLR;1986;0.012695331
CAN;1986;39.055515
CHE;1986;47.78144
CHN;1986;4.3385277
COL;1986;27.80027
CZE;1986;3.6011386
DEU;1986;10.113061
DNK;1986;0.27791974
DZA;1986;0.2664045
EGY;1986;7.8884335
ARG;1986;15.482304
BRA;1986;42.815575
CHL;1986;31.423769
ESP;1986;19.78858
OWID_WRL;1986;12.535581
EST;1986;0
FIN;1986;31.275412
FRA;1986;36.9464
GBR;1986;7.396672
GRC;1986;4.321012
HUN;1986;6.485686
IDN;1986;2.9868257
IND;1986;10.0077715
IRL;1986;2.5271845
IRN;1986;3.4556096
ISR;1986;0.017165788
ITA;1986;9.223572
JPN;1986;16.753815
KAZ;1986;1.7365297
KOR;1986;12.781332
LTU;1986;17.499424
LUX;1986;0.9784457
LVA;1986;8.983882
MAR;1986;2.8153405
MEX;1986;6.596592
MYS;1986;6.458532
NLD;1986;1.5909495
NOR;1986;66.9773
NZL;1986;42.98595
PAK;1986;16.570778
PER;1986;27.36942
POL;1986;0.38169914
ROU;1986;4.3782783
RUS;1986;8.067212
SAU;1986;0
SVK;1986;16.076738
SWE;1986;53.703384
THA;1986;8.074997
TKM;1986;0.004980687
TUR;1986;8.374288
TWN;1986;21.872889
UKR;1986;5.467161
USA;1986;10.968868
UZB;1986;2.9860458
VEN;1986;13.745109
VNM;1986;6.225277
ZAF;1986;3.1960719
AUS;1987;4.532893
AUT;1987;32.193813
AZE;1987;0.9706842
BEL;1987;20.878838
BGD;1987;2.6365013
BGR;1987;12.356301
BLR;1987;0.012513183
CAN;1987;39.012127
CHE;1987;50.01514
CHN;1987;4.2555475
COL;1987;27.698511
CZE;1987;5.76394
DEU;1987;10.880976
DNK;1987;0.37065881
DZA;1987;0.5174274
EGY;1987;7.4370356
ESP;1987;20.471462
ARG;1987;15.696147
BRA;1987;42.589603
CHL;1987;32.36392
EST;1987;0
OWID_WRL;1987;12.671119
FIN;1987;31.598085
FRA;1987;38.51427
GBR;1987;6.8945527
GRC;1987;3.3969667
HUN;1987;9.136688
IDN;1987;2.9112308
IND;1987;8.868162
IRL;1987;1.8662728
IRN;1987;3.5734787
ISR;1987;0.026678516
ITA;1987;7.3135414
JPN;1987;17.543306
KAZ;1987;2.035726
KOR;1987;15.876646
LTU;1987;15.532288
LUX;1987;1.2274541
LVA;1987;12.136782
MAR;1987;3.5068126
MEX;1987;6.1185946
MYS;1987;7.5484753
NLD;1987;1.3999912
NOR;1987;68.43145
NZL;1987;42.211864
PAK;1987;18.999693
PER;1987;27.023897
POL;1987;0.3551029
ROU;1987;4.377777
RUS;1987;8.308958
SAU;1987;0
SVK;1987;15.79752
SWE;1987;58.407967
THA;1987;5.194037
TKM;1987;0.005006666
TUR;1987;11.513276
TWN;1987;23.56369
UKR;1987;6.010671
USA;1987;10.672887
UZB;1987;4.200674
VEN;1987;16.863823
VNM;1987;5.438617
ZAF;1987;2.3541007
AUS;1988;4.64168
AUT;1988;32.733353
AZE;1988;0.842058
BEL;1988;21.003311
BGD;1988;3.0908637
BGR;1988;15.001813
BLR;1988;0.012336068
CAN;1988;37.20411
CHE;1988;50.43704
CHN;1988;4.3230724
COL;1988;29.223629
CZE;1988;6.0560846
DEU;1988;11.835427
DNK;1988;0.5722486
DZA;1988;0.17717436
EGY;1988;7.214404
ESP;1988;24.472641
EST;1988;0
ARG;1988;11.459444
BRA;1988;44.04565
CHL;1988;28.551182
FIN;1988;31.296392
OWID_WRL;1988;12.913426
FRA;1988;39.82407
GBR;1988;7.82496
GRC;1988;2.7383325
HUN;1988;11.4127865
IDN;1988;3.0289974
IND;1988;9.108613
IRL;1988;2.3837883
IRN;1988;3.6968005
ISR;1988;0.024891872
ITA;1988;7.320364
JPN;1988;16.659359
KAZ;1988;2.3956878
KOR;1988;13.806622
LTU;1988;20.451012
LUX;1988;1.1297147
LVA;1988;10.432146
MAR;1988;3.7663102
MEX;1988;6.7846136
MYS;1988;8.279656
NLD;1988;1.4865474
NOR;1988;69.97984
NZL;1988;42.28657
PAK;1988;18.619598
PER;1988;26.669767
POL;1988;0.36688256
ROU;1988;5.6659927
RUS;1988;8.40067
SAU;1988;0
SVK;1988;15.459297
SWE;1988;59.79699
THA;1988;4.262178
TKM;1988;0.004972991
TUR;1988;16.268532
TWN;1988;19.496855
UKR;1988;8.390824
USA;1988;10.814678
UZB;1988;4.415101
